Angs,Dists,X,Y,A,B1,B2i,B2ii,B3i,B3ii,B4i,B4ii,Training_TRUE
0,0.05,0.05,0,0,0.0499999999999998,0.0250000000000004,0.0166666666666669,3.70652173913043,2.0959595959596,-4.92961671461089,-3.4237227443609,3.14159265358979
0,0.1,0.1,0,0,0.0999999999999996,0.0499999999999998,0.0333333333333332,3.71739130434783,2.12121212121212,-4.92598480830388,-3.46331578947368,3.14159265358979
0,0.15,0.15,0,0,0.15,0.0750000000000002,0.0500000000000001,3.72826086956522,2.14646464646465,-4.92216669017857,-3.50224342105263,3.14159265358979
0,0.2,0.2,0,0,0.2,0.0999999999999996,0.0666666666666664,3.73913043478261,2.17171717171717,-4.91815281295088,-3.54051127819549,3.14159265358979
0,0.25,0.25,0,0,0.25,0.125,0.0833333333333333,3.75,2.1969696969697,-4.91393313983701,-3.578125,3.14159265358979
0,0.3,0.3,0,0,0.3,0.15,0.1,3.76086956521739,2.22222222222222,-4.90949711945625,-3.61509022556391,3.14159265358979
0,0.35,0.35,0,0,0.35,0.175,0.116666666666667,3.77173913043478,2.24747474747475,-4.90483365944701,-3.65141259398496,3.14159265358979
0,0.4,0.4,0,0,0.4,0.2,0.133333333333333,3.78260869565217,2.27272727272727,-4.8999310987302,-3.6870977443609,3.14159265358979
0,0.45,0.45,0,0,0.45,0.225,0.15,3.79347826086957,2.2979797979798,-4.89477717835039,-3.72215131578947,3.14159265358979
0,0.5,0.5,0,0,0.5,0.25,0.166666666666667,3.80434782608696,2.32323232323232,-4.88935901082206,-3.75657894736842,3.14159265358979
0,0.55,0.55,0,0,0.55,0.275,0.183333333333334,3.81521739130435,2.34848484848485,-4.88366304790422,-3.79038627819549,3.14159265358979
0,0.6,0.6,0,0,0.6,0.3,0.2,3.82608695652174,2.37373737373737,-4.87767504672265,-3.82357894736842,3.14159265358979
0,0.65,0.65,0,0,0.65,0.325,0.216666666666667,3.83695652173913,2.3989898989899,-4.87138003415541,-3.85616259398496,3.14159265358979
0,0.7,0.7,0,0,0.7,0.35,0.233333333333333,3.84782608695652,2.42424242424242,-4.86476226939214,-3.88814285714286,3.14159265358979
0,0.75,0.75,0,0,0.75,0.375,0.25,3.85869565217391,2.44949494949495,-4.85780520457391,-3.91952537593985,3.14159265358979
0,0.8,0.8,0,0,0.8,0.4,0.266666666666667,3.8695652173913,2.47474747474747,-4.85049144341488,-3.95031578947368,3.14159265358979
0,0.85,0.85,0,0,0.85,0.425,0.283333333333333,3.8804347826087,2.5,-4.8428026977026,-3.9805197368421,3.14159265358979
0,0.9,0.9,0,0,0.9,0.45,0.3,3.89130434782609,2.52525252525253,-4.83471974156789,-4.01014285714286,3.14159265358979
0,0.95,0.95,0,0,0.95,0.475,0.316666666666666,3.90217391304348,2.55050505050505,-4.82622236341019,-4.03919078947368,3.14159265358979
0,1,1,0,0,1,0.5,0.333333333333333,3.91304347826087,2.57575757575758,-4.81728931535803,-4.06766917293233,3.14159265358979
0,1.05,1.05,0,0,1.05,0.525,0.35,3.92391304347826,2.6010101010101,-4.80789826013826,-4.09558364661654,3.14159265358979
0,1.1,1.1,0,0,1.1,0.55,0.366666666666667,3.93478260869565,2.62626262626263,-4.79802571522124,-4.12293984962406,3.14159265358979
0,1.15,1.15,0,0,1.15,0.575,0.383333333333333,3.94565217391304,2.65151515151515,-4.7876469941023,-4.14974342105263,3.14159265358979
0,1.2,1.2,0,0,1.2,0.6,0.4,3.95652173913044,2.67676767676768,-4.77673614457261,-4.176,3.14159265358979
0,1.25,1.25,0,0,1.25,0.625,0.416666666666667,3.96739130434783,2.7020202020202,-4.76526588382515,-4.20171522556391,3.14159265358979
0,1.3,1.3,0,0,1.3,0.65,0.433333333333334,3.97826086956522,2.72727272727273,-4.75320753023344,-4.22689473684211,3.14159265358979
0,1.35,1.35,0,0,1.35,0.675,0.45,3.98913043478261,2.75252525252525,-4.74053093163259,-4.25154417293233,3.14159265358979
0,1.4,1.4,0,0,1.4,0.7,0.466666666666666,4,2.77777777777778,-4.72720438992316,-4.27566917293233,3.14159265358979
0,1.45,1.45,0,0,1.45,0.725,0.483333333333333,4.01086956521739,2.8030303030303,-4.71319458180939,-4.29927537593985,3.14159265358979
0,1.5,1.5,0,0,1.5,0.75,0.5,4.02173913043478,2.82828282828283,-4.69846647547361,-4.32236842105263,3.14159265358979
0,1.55,1.55,0,0,1.55,0.775,0.516666666666667,4.03260869565217,2.85353535353535,-4.68298324297844,-4.34495394736842,3.14159265358979
0,1.6,1.6,0,0,1.6,0.8,0.533333333333334,4.04347826086957,2.87878787878788,-4.66670616817781,-4.36703759398496,3.14159265358979
0,1.65,1.65,0,0,1.65,0.825,0.549999999999999,4.05434782608696,2.9040404040404,-4.64959454990635,-4.388625,3.14159265358979
0,1.7,1.7,0,0,1.7,0.85,0.566666666666666,4.06521739130435,2.92929292929293,-4.63160560020535,-4.40972180451128,3.14159265358979
0,1.75,1.75,0,0,1.75,0.875,0.583333333333333,4.07608695652174,2.95454545454545,-4.61269433733052,-4.43033364661654,3.14159265358979
0,1.8,1.8,0,0,1.8,0.9,0.6,4.08695652173913,2.97979797979798,-4.59281347327425,-4.45046616541353,3.14159265358979
0,1.85,1.85,0,0,1.85,0.925,0.616666666666667,4.09782608695652,3.00505050505051,-4.57191329552091,-4.470125,3.14159265358979
0,1.9,1.9,0,0,1.9,0.95,0.633333333333333,4.10869565217391,3.03030303030303,-4.5499415427397,-4.48931578947368,3.14159265358979
0,1.95,1.95,0,0,1.95,0.975,0.65,4.1195652173913,3.05555555555556,-4.52684327410409,-4.50804417293233,3.14159265358979
0,2,2,0,0,2,1,0.666666666666667,4.1304347826087,3.08080808080808,-4.50256073191115,-4.52631578947368,3.14159265358979
0,2.05,2.05,0,0,2.05,1.025,0.683333333333334,4.14130434782609,3.10606060606061,-4.47703319715718,-4.54413627819549,3.14159265358979
0,2.1,2.1,0,0,2.1,1.05,0.700000000000001,4.15217391304348,3.13131313131313,-4.4501968377086,-4.56151127819549,3.14159265358979
0,2.15,2.15,0,0,2.15,1.075,0.716666666666666,4.16304347826087,3.15656565656566,-4.42198454868835,-4.57844642857143,3.14159265358979
0,2.2,2.2,0,0,2.2,1.1,0.733333333333333,4.17391304347826,3.18181818181818,-4.39232578467875,-4.59494736842105,3.14159265358979
0,2.25,2.25,0,0,2.25,1.125,0.75,4.18478260869565,3.20707070707071,-4.36114638332122,-4.61101973684211,3.14159265358979
0,2.3,2.3,0,0,2.3,1.15,0.766666666666667,4.19565217391304,3.23232323232323,-4.32836837987175,-4.62666917293233,3.14159265358979
0,2.35,2.35,0,0,2.35,1.175,0.783333333333334,4.20652173913043,3.25757575757576,-4.2939098122484,-4.64190131578947,3.14159265358979
0,2.4,2.4,0,0,2.4,1.2,0.799999999999999,4.21739130434783,3.28282828282828,-4.25768451608345,-4.65672180451128,3.14159265358979
0,2.45,2.45,0,0,2.45,1.225,0.816666666666666,4.22826086956522,3.30808080808081,-4.21960190926759,-4.67113627819549,3.14159265358979
0,2.5,2.5,0,0,2.5,1.25,0.833333333333333,4.23913043478261,3.33333333333333,-4.17956676544741,-4.68515037593985,3.14159265358979
0,2.55,2.55,0,0,2.55,1.275,0.85,4.25,3.35858585858586,-4.13747897591001,-4.69876973684211,3.14159265358979
0,2.6,2.6,0,0,2.6,1.3,0.866666666666667,4.26086956521739,3.38383838383838,-4.09323329925897,-4.712,3.14159265358979
0,2.65,2.65,0,0,2.65,1.325,0.883333333333333,4.27173913043478,3.40909090909091,-4.04671909825614,-4.72484680451128,3.14159265358979
0,2.7,2.7,0,0,2.7,1.35,0.9,4.28260869565217,3.43434343434343,-3.99782006317085,-4.73731578947368,3.14159265358979
0,2.75,2.75,0,0,2.75,1.375,0.916666666666667,4.29347826086956,3.45959595959596,-3.94641392094499,-4.74941259398496,3.14159265358979
0,2.8,2.8,0,0,2.8,1.4,0.933333333333334,4.30434782608696,3.48484848484848,-3.89237212944676,-4.76114285714286,3.14159265358979
0,2.85,2.85,0,0,2.85,1.425,0.950000000000001,4.31521739130435,3.51010101010101,-3.83555955604829,-4.77251221804511,3.14159265358979
0,2.9,2.9,0,0,2.9,1.45,0.966666666666666,4.32608695652174,3.53535353535353,-3.77583413972373,-4.78352631578947,3.14159265358979
0,2.95,2.95,0,0,2.95,1.475,0.983333333333333,4.33695652173913,3.56060606060606,-3.7130465358227,-4.79419078947368,3.14159265358979
0,3,3,0,0,3,1.5,1,4.34782608695652,3.58585858585859,-3.64703974263084,-4.80451127819549,3.14159265358979
0,3.05,3.05,0,0,3.05,1.525,1.01666666666667,4.35869565217391,3.61111111111111,-3.57764870878377,-4.81449342105263,3.14159265358979
0,3.1,3.1,0,0,3.1,1.55,1.03333333333333,4.3695652173913,3.63636363636364,-3.50469992055269,-4.82414285714286,3.14159265358979
0,3.15,3.15,0,0,3.15,1.575,1.05,4.38043478260869,3.66161616161616,-3.42801096796971,-4.83346522556391,3.14159265358979
0,3.2,3.2,0,0,3.2,1.6,1.06666666666667,4.39130434782609,3.68686868686869,-3.34739008870786,-4.84246616541353,3.14159265358979
0,3.25,3.25,0,0,3.25,1.625,1.08333333333333,4.40217391304348,3.71212121212121,-3.26263568857546,-4.85115131578947,3.14159265358979
0,3.3,3.3,0,0,3.3,1.65,1.1,4.41304347826087,3.73737373737374,-3.17353583742558,-4.85952631578947,3.14159265358979
0,3.35,3.35,0,0,3.35,1.675,1.11666666666667,4.42391304347826,3.76262626262626,-3.07986773922031,-4.86759680451128,3.14159265358979
0,3.4,3.4,0,0,3.4,1.7,1.13333333333333,4.43478260869565,3.78787878787879,-2.98139717492459,-4.87536842105263,3.14159265358979
0,3.45,3.45,0,0,3.45,1.725,1.15,4.44565217391304,3.81313131313131,-2.87787791683667,-4.88284680451128,3.14159265358979
0,3.5,3.5,0,0,3.5,1.75,1.16666666666667,4.45652173913043,3.83838383838384,-2.76905111289055,-4.89003759398496,3.14159265358979
